,270,2016-03-2517:40:53,13.166807671232874,4,SentenceCrushers\n
HJORT,244,2016-03-2522:50:45,17.621538666666666,4,SentenceCrushers\n
JJAJA,170,2016-03-2521:39:29,29.996008,4,SentenceCrushers\n
MRJ,263,2016-03-2522:45:02,14.414562222222221,4,SentenceCrushers\n
TY,131,2016-03-2522:47:39,13.753332444444444,4,SentenceCrushers\n
JON,261,2016-03-2504:19:06,14.822374705241037,4,SentenceCrushers\n
KL,257,2016-03-2522:46:34,15.358844444444445,4,SentenceCrushers\n
JAJ,264,2016-03-2522:09:34,14.283762222222222,4,SentenceCrushers\n
JONAS,259,2016-03-2521:13:23,15.134825333333332,4,SentenceCrushers\n
GJORT,229,2016-03-2523:01:39,20.03123111111111,4,SentenceCrushers
JOASN,279,2016-03-2517:52:20,11.671562812785387,4,SentenceCrushers\n
BJORN,136,2016-03-2522:06:32,14.94617288888889,4,SentenceCrushers\n
JA,1,2016-03-2521:44:32,0.2329768888888889,4,SentenceCrushers\n
